학교명,체험처,점수,학교_위도,학교_경도,체험처_위도,체험처_경도
경북체육중학교,경상북도보건환경연구원,0.28818036228110316,35.81222619,128.7380534,35.9526215,128.900975
경북체육중학교,농업회사법인(주)한국와인,0.261446342305003,35.81222619,128.7380534,35.92362,128.89645
경북체육중학교,토라사이언스,0.488138678985683,35.81222619,128.7380534,36.1084915,128.1878133
경북체육중학교,카빙앤조이,0.3068959741673791,35.81222619,128.7380534,36.039332,129.3677169
경북체육중학교,경산시계림청소년수련원,0.287688008750667,35.81222619,128.7380534,35.82159,128.82356
경북체육중학교,동리목월문학관,0.3279395921071171,35.81222619,128.7380534,35.7855363,129.3194854
경북체육중학교,지천수상레저,0.3287330195224581,35.81222619,128.7380534,35.95653,128.48785
경북체육중학교,카빙앤조이,0.43878944710593853,35.81222619,128.7380534,36.039332,129.3677169
경북체육중학교,카빙앤조이,0.2697769749710194,35.81222619,128.7380534,36.039332,129.3677169
경북체육중학교,도닥도닥 사회적 협동조합,0.2990607451434728,35.81222619,128.7380534,35.825122,128.741329
경북체육중학교,왜관전적기념관,0.31686254665641134,35.81222619,128.7380534,36.0751451,128.3934432
경북체육중학교,박정희대통령 생가,0.3254381848156697,35.81222619,128.7380534,36.12323105,128.3413768
경북체육중학교,영천시청소년수련관,0.40572796586835136,35.81222619,128.7380534,35.96797,128.92488
경북체육중학교,핸즈체험터,0.33278387419349725,35.81222619,128.7380534,35.8024072,128.4964134
경북체육중학교,교육사회적기업 포인트(경북북부센터),0.5045592367566585,35.81222619,128.7380534,36.8070556,128.6293459
경산여자중학교,도닥도닥 사회적 협동조합,0.2597541772802649,35.8177642,128.7299454,35.825122,128.741329
경산여자중학교,동리목월문학관,0.2401056313235597,35.8177642,128.7299454,35.7855363,129.3194854
경산여자중학교,문경시청소년문화의집,0.4231301043122294,35.8177642,128.7299454,36.591216,128.1870866
경산여자중학교,안다미로 귀때 박물관,0.3528313921371811,35.8177642,128.7299454,35.9829227,128.3839164
경산여자중학교,지천수상레저,0.3160246795468644,35.8177642,128.7299454,35.95653,128.48785
경산여자중학교,고령군선거관리위원회,0.18110803135699782,35.8177642,128.7299454,35.7291463,128.2728402
경산여자중학교,(주)마크앤,0.190281607503997,35.8177642,128.7299454,35.8856993,128.582784
경산여자중학교,안다미로 귀때 박물관,0.30905137484668527,35.8177642,128.7299454,35.9829227,128.3839164
경산여자중학교,영천시청소년수련관,0.26459133100040866,35.8177642,128.7299454,35.96797,128.92488
경산여자중학교,법무부 청소년 범죄예방위원 경주지역 협의회,0.3922047074751838,35.8177642,128.7299454,35.8444497,129.2173
경산여자중학교,한국부동산원 안동지사,0.2919491819238976,35.8177642,128.7299454,36.554877,128.7582194
경산여자중학교,경산시청소년문화의집,0.28543116161619375,35.8177642,128.7299454,35.81635,128.73541
경산여자중학교,경산시청소년문화의집,0.3804306464620425,35.8177642,128.7299454,35.81635,128.73541
경산여자중학교,수자원공사 - 칠곡보,0.1990024789484444,35.8177642,128.7299454,36.036934,128.4118002
경산여자중학교,교육사회적기업 포인트(경북북부센터),0.544268533032601,35.8177642,128.7299454,36.8070556,128.6293459
경산여자중학교,영천시청소년수련관,0.1336409606344685,35.8177642,128.7299454,35.96797,128.92488
경산여자중학교,문경시청소년문화의집,0.10325585664396775,35.8177642,128.7299454,36.591216,128.1870866
경산여자중학교,수자원공사 - 칠곡보,0.3292425735808642,35.8177642,128.7299454,36.036934,128.4118002
경산여자중학교,경산시청소년문화의집,0.28343929157869124,35.8177642,128.7299454,35.81635,128.73541
경산여자중학교,교육사회적기업 포인트(경북북부센터),0.5629563115758616,35.8177642,128.7299454,36.8070556,128.6293459
경산여자중학교,문경시청소년문화의집,0.24447938116547788,35.8177642,128.7299454,36.591216,128.1870866
경산여자중학교,글로벌인재개발연구원,0.2321294966958019,35.8177642,128.7299454,35.820083,128.7311572
경산여자중학교,카빙앤조이,0.3117821905534784,35.8177642,128.7299454,36.039332,129.3677169
경산여자중학교,카빙앤조이,0.22785123901295054,35.8177642,128.7299454,36.039332,129.3677169
경산여자중학교,라온스포츠복지사회적협동조합,0.4431704187641328,35.8177642,128.7299454,35.64315,128.74319
경산여자중학교,핸즈체험터,0.424094883701978,35.8177642,128.7299454,35.8024072,128.4964134
경산여자중학교,칠곡군청소년문화의집,0.4285528522815467,35.8177642,128.7299454,36.04915,128.4297
경산여자중학교,고향집,0.39917960112233564,35.8177642,128.7299454,36.1998392,128.3913747
경산여자중학교,글로벌인재개발연구원,0.24335951063965636,35.8177642,128.7299454,35.820083,128.7311572
경산여자중학교,농업회사법인(주)한국와인,0.480974969083355,35.8177642,128.7299454,35.92362,128.89645
자인여자중학교,k이루미뷰티샵,0.3459813940468254,35.816043,128.827966,36.5684049,128.6933617
자인여자중학교,미래핵심인재교육원,0.3518058331584505,35.816043,128.827966,36.1020797,128.3820047
자인여자중학교,영천시청소년수련관,0.6928351253229379,35.816043,128.827966,35.96797,128.92488
자인여자중학교,번개놀이터 협동조합,0.3227016621859434,35.816043,128.827966,36.8224444,128.6183745
자인여자중학교,윌문화인재평생교육원,0.3664277733089275,35.816043,128.827966,36.0954207,128.4334233
자인여자중학교,문경시청소년문화의집,0.3172525854063963,35.816043,128.827966,36.591216,128.1870866
자인여자중학교,라온스포츠복지사회적협동조합,0.2995783449906902,35.816043,128.827966,35.64315,128.74319
자인여자중학교,스타온뮤지컬댄스학원,0.36610027193524647,35.816043,128.827966,35.84206,128.78262
자인여자중학교,상주시청소년수련관,0.1723070583177742,35.816043,128.827966,36.4281491,128.1707283
