학교명,체험처,점수,학교_위도,학교_경도,체험처_위도,체험처_경도
경북체육중학교,경산시청소년문화의집,(0.9026779382294743+0j),35.81222619,128.7380534,35.81635,128.73541
경북체육중학교,도닥도닥 사회적 협동조합,(0.9195830170948804+0j),35.81222619,128.7380534,35.825122,128.741329
경북체육중학교,도닥도닥 사회적 협동조합,(0.8964524253000519+0j),35.81222619,128.7380534,35.825122,128.741329
경산여자중학교,도닥도닥 사회적 협동조합,(0.9660160760641396+0j),35.8177642,128.7299454,35.825122,128.741329
경산여자중학교,고령군선거관리위원회,(0.8910734598353565+0j),35.8177642,128.7299454,35.7291463,128.2728402
경산여자중학교,경산시청소년문화의집,(0.9224986516381604+0j),35.8177642,128.7299454,35.81635,128.73541
경산여자중학교,경산시청소년문화의집,(0.9197449530420453+0j),35.8177642,128.7299454,35.81635,128.73541
경산여자중학교,글로벌인재개발연구원,(0.9292115733790498+0j),35.8177642,128.7299454,35.820083,128.7311572
경산여자중학교,글로벌인재개발연구원,(0.9110098407053387+0j),35.8177642,128.7299454,35.820083,128.7311572
자인여자중학교,경산시청소년문화의집,(0.9264068794187916+0j),35.816043,128.827966,35.81635,128.73541
자인여자중학교,라온스포츠복지사회적협동조합,(0.911809932727338+0j),35.816043,128.827966,35.64315,128.74319
자인여자중학교,경산시청소년문화의집,(0.9237067470453011+0j),35.816043,128.827966,35.81635,128.73541
자인여자중학교,경산시계림청소년수련원,(0.9627896367009234+0j),35.816043,128.827966,35.82159,128.82356
자인여자중학교,영천시청소년수련관,(0.9580601442527819+0j),35.816043,128.827966,35.96797,128.92488
자인여자중학교,스타온뮤지컬댄스학원,(0.9264174285662483+0j),35.816043,128.827966,35.84206,128.78262
자인여자중학교,경산시계림청소년수련원,(0.9462257771667439+0j),35.816043,128.827966,35.8771359,128.7659703
경산중학교,글로벌인재개발연구원,(0.9501569223427511+0j),35.82428626,128.7484647,35.820083,128.7311572
경산중학교,핸즈체험터,(0.9140421752946641+0j),35.82428626,128.7484647,35.8024072,128.4964134
경산중학교,글로벌인재개발연구원,(0.9361330826184141+0j),35.82428626,128.7484647,35.820083,128.7311572
경산중학교,경산시청소년문화의집,(0.9408598757917914+0j),35.82428626,128.7484647,35.81635,128.73541
경산중학교,경산시청소년문화의집,(0.9382355519286738+0j),35.82428626,128.7484647,35.81635,128.73541
대구가톨릭대학교사범대학부속무학중학교,경산시청소년문화의집,(0.8906852505538307+0j),35.92002869,128.8159912,35.81635,128.73541
대구가톨릭대학교사범대학부속무학중학교,경산시청소년문화의집,(0.9174506087785386+0j),35.92002869,128.8159912,35.81635,128.73541
대구가톨릭대학교사범대학부속무학중학교,영천시청소년수련관,(0.9222364592652861+0j),35.92002869,128.8159912,35.96797,128.92488
대구가톨릭대학교사범대학부속무학중학교,글로벌인재개발연구원,(0.9161221816430989+0j),35.92002869,128.8159912,35.820083,128.7311572
대구가톨릭대학교사범대학부속무학중학교,영천시청소년수련관,(0.9221581472772639+0j),35.92002869,128.8159912,35.96797,128.92488
대구가톨릭대학교사범대학부속무학중학교,경산시계림청소년수련원,(0.9447478558075321+0j),35.92002869,128.8159912,35.8771359,128.7659703
대구가톨릭대학교사범대학부속무학중학교,경산시계림청소년수련원,(0.9562759402197497+0j),35.92002869,128.8159912,35.8771359,128.7659703
대구가톨릭대학교사범대학부속무학중학교,영천시청소년수련관,(0.9756002953376713+0j),35.92002869,128.8159912,35.96797,128.92488
문명중학교,글로벌인재개발연구원,(0.9466089746995445+0j),35.80503215,128.7451394,35.820083,128.7311572
문명중학교,경산시청소년문화의집,(0.9351336740172806+0j),35.80503215,128.7451394,35.81635,128.73541
문명중학교,핸즈체험터,(0.9456800125142246+0j),35.80503215,128.7451394,35.8024072,128.4964134
문명중학교,라온스포츠복지사회적협동조합,(0.9192329492395068+0j),35.80503215,128.7451394,35.64315,128.74319
사동중학교,도닥도닥 사회적 협동조합,(0.9209611087601526+0j),35.81400185,128.7590562,35.825122,128.741329
사동중학교,글로벌인재개발연구원,(0.8775616720424753+0j),35.81400185,128.7590562,35.820083,128.7311572
사동중학교,글로벌인재개발연구원,(0.9950033978973399+0j),35.81400185,128.7590562,35.820083,128.7311572
사동중학교,경산시청소년문화의집,(0.944593162957265+0j),35.81400185,128.7590562,35.81635,128.73541
사동중학교,도닥도닥 사회적 협동조합,(0.9893430666504011+0j),35.81400185,128.7590562,35.825122,128.741329
삼성현중학교,도닥도닥 사회적 협동조합,(0.909490742555101+0j),35.80114113,128.7401211,35.825122,128.741329
삼성현중학교,글로벌인재개발연구원,(0.8974116227072436+0j),35.80114113,128.7401211,35.820083,128.7311572
삼성현중학교,도닥도닥 사회적 협동조합,(0.9684541847450865+0j),35.80114113,128.7401211,35.825122,128.741329
삼성현중학교,경산시청소년문화의집,(0.9574069264260037+0j),35.80114113,128.7401211,35.81635,128.73541
삼성현중학교,핸즈체험터,(0.9122963063197288+0j),35.80114113,128.7401211,35.8024072,128.4964134
삼성현중학교,경산시계림청소년수련원,(0.9062648146489662+0j),35.80114113,128.7401211,35.8771359,128.7659703
삼성현중학교,라온스포츠복지사회적협동조합,(0.8981761817329876+0j),35.80114113,128.7401211,35.64315,128.74319
삼성현중학교,핸즈체험터,(0.9117810726564071+0j),35.80114113,128.7401211,35.8024072,128.4964134
신상중학교,핸즈체험터,(0.8760263384532898+0j),35.87468993,128.8219306,35.8024072,128.4964134
신상중학교,글로벌인재개발연구원,(0.9074223231055342+0j),35.87468993,128.8219306,35.820083,128.7311572
신상중학교,경산시계림청소년수련원,(0.953833319517443+0j),35.87468993,128.8219306,35.82159,128.82356
신상중학교,경상북도보건환경연구원,(0.9147594595550146+0j),35.87468993,128.8219306,35.9526215,128.900975
압량중학교,한국교육전문가협회,(0.8983241902115995+0j),35.84381785,128.7614826,36.1413769,128.3161768
압량중학교,글로벌인재개발연구원,(0.9228056647337214+0j),35.84381785,128.7614826,35.820083,128.7311572
압량중학교,경산시계림청소년수련원,(0.9627740770105853+0j),35.84381785,128.7614826,35.8771359,128.7659703
압량중학교,경산시청소년문화의집,(0.946453220600997+0j),35.84381785,128.7614826,35.81635,128.73541
용성중학교,영천시청소년수련관,(0.8821964579236092+0j),35.792593,128.8733966,35.96797,128.92488
용성중학교,경산시청소년문화의집,(0.9178346609919147+0j),35.792593,128.8733966,35.81635,128.73541
용성중학교,도닥도닥 사회적 협동조합,(0.8882488213087786+0j),35.792593,128.8733966,35.825122,128.741329
용성중학교,경산시계림청소년수련원,(0.975082396448846+0j),35.792593,128.8733966,35.82159,128.82356
용성중학교,경산시계림청소년수련원,(0.9380807470514586+0j),35.792593,128.8733966,35.8771359,128.7659703
자인중학교,경산시계림청소년수련원,(0.9174521554304121+0j),35.81989055,128.8217723,35.8771359,128.7659703
자인중학교,경산시청소년문화의집,(0.946420368132713+0j),35.81989055,128.8217723,35.81635,128.73541
자인중학교,경산시계림청소년수련원,(0.9858378226999387+0j),35.81989055,128.8217723,35.82159,128.82356
자인중학교,라온스포츠복지사회적협동조합,(0.9232859003899818+0j),35.81989055,128.8217723,35.64315,128.74319
자인중학교,글로벌인재개발연구원,(0.9803167909112629+0j),35.81989055,128.8217723,35.820083,128.7311572
자인중학교,법무부 청소년 범죄예방위원 경주지역 협의회,(0.9061744547570512+0j),35.81989055,128.8217723,35.8444497,129.2173
장산중학교,도닥도닥 사회적 협동조합,(0.9374828766211414+0j),35.81897414,128.7303219,35.825122,128.741329
장산중학교,도닥도닥 사회적 협동조합,(0.9185057784829017+0j),35.81897414,128.7303219,35.825122,128.741329
장산중학교,경산시청소년문화의집,(0.9195215687480343+0j),35.81897414,128.7303219,35.81635,128.73541
장산중학교,경산시청소년문화의집,(0.9319677548839362+0j),35.81897414,128.7303219,35.81635,128.73541
