강좌명,프로그램명,점수,학교_위도,학교_경도,체험처_위도,체험처_경도
내가 닮고 싶은 과학자 이야기,과학교육서포터즈운영,0.7787499373183091,35.81222619,128.7380534,35.9526215,128.900975
내가 닮고 싶은 과학자 이야기,"뭐야! 와인이 과학이라고!? 99.9%과일만으로  만들어지는 와인, 어떻게 만들어질까?",0.6896365373979753,35.81222619,128.7380534,35.92362,128.89645
내가 닮고 싶은 과학자 이야기,특수효과전문가(중학생을 위한 미래유망직업 소개)_토라사이언스,1.4385449787516906,35.81222619,128.7380534,36.1084915,128.1878133
내가 닮고 싶은 과학자 이야기,마법의 젤리 만들기 ('책 읽는 두꺼비' 책과 함께),0.8344026293573442,35.81222619,128.7380534,36.039332,129.3677169
내가 닮고 싶은 과학자 이야기,과학창작 VR캠프,0.770376077968304,35.81222619,128.7380534,35.82159,128.82356
내가 닮고 싶은 과학자 이야기,"화석과 광물의 세계(지질학자, 고고학자 체험)",1.5888979554302876,35.81222619,128.7380534,36.1582024,128.2603792
내가 닮고 싶은 과학자 이야기,과학개념 완성 실험과학,0.9740442879281754,35.81222619,128.7380534,36.4281491,128.1707283
내가 닮고 싶은 과학자 이야기,"딸기, 네가 궁금해",0.17999421234603635,35.81222619,128.7380534,36.81682,128.68757
내가 닮고 싶은 과학자 이야기,박정희대통령 생가 둘러보기,0.9469009569162764,35.81222619,128.7380534,36.12323105,128.3413768
내가 닮고 싶은 과학자 이야기,특수효과전문가(중학생을 위한 미래유망직업 소개) ,1.0923738652932617,35.81222619,128.7380534,35.9927198,128.3872542
문학에 빠지다,"김동리, 박목월 선생님 일대기(시인, 소설가와의 만남, 방송작가, 드라마 영화작가 연계체험)",0.9112807034050223,35.81222619,128.7380534,35.7855363,129.3194854
문학에 빠지다,수상스키 타기,0.9139254614561589,35.81222619,128.7380534,35.95653,128.48785
문학에 빠지다,마법의 젤리 만들기 ('책 읽는 두꺼비' 책과 함께),1.2740475391525423,35.81222619,128.7380534,36.039332,129.3677169
문학에 빠지다,식품으로 만나는 예술 체험,0.7106726320361451,35.81222619,128.7380534,36.039332,129.3677169
문학에 빠지다,뭐야! 와인이 예술이라고!? 와인에 숨어있는 예술 찾기,0.8082851992776564,35.81222619,128.7380534,35.92362,128.89645
문학에 빠지다,예술로 마음을 도닥인다 : 도닥도닥 사회적 협동조합,1.0976521249843376,35.81222619,128.7380534,35.825122,128.741329
문학에 빠지다,신나고 활기찬 댄스,1.14501762768128,35.81222619,128.7380534,36.591216,128.1870866
문학에 빠지다,웹툰작가,1.259293327691654,35.81222619,128.7380534,36.591216,128.1870866
문학에 빠지다,"재미있게 배우는 수채화, 드로잉",0.796724128742932,35.81222619,128.7380534,36.4281491,128.1707283
문학에 빠지다,화랑도 체험활동,2.0186911187507026,35.81222619,128.7380534,35.8601721,129.1895572
영화 속 사회,왜관전적기념관 견학,0.8743572185693365,35.81222619,128.7380534,36.0751451,128.3934432
영화 속 사회,박정희대통령 생가 둘러보기,0.9029426791001977,35.81222619,128.7380534,36.12323105,128.3413768
영화 속 사회,"호국보훈의달 프로그램 「분단의 시작, 한국전쟁이야기」 +  골든벨(역사 체험)",1.1638426016939185,35.81222619,128.7380534,35.96797,128.92488
영화 속 사회,쇼콜라티에,0.9206956294444048,35.81222619,128.7380534,35.8024072,128.4964134
영화 속 사회,"쇼콜라티에(2교시,초콜릿)",1.4932801713216088,35.81222619,128.7380534,36.8070556,128.6293459
영화 속 사회,독도수비리더캠프,0.7587208785983792,35.81222619,128.7380534,36.4685589,129.4350989
영화 속 사회,특수분장사 체험,0.37476310212506664,35.81222619,128.7380534,36.8070556,128.6293459
영화 속 사회,적과한 사과를 이용하여 동물가족 표현하기,1.1926635062118751,35.81222619,128.7380534,36.039332,129.3677169
영화 속 사회,클라이밍,1.061847697673679,35.81222619,128.7380534,35.63218,128.7182
